tokenid	token	lemma	pos1	pos2	feat	headid	deprel	other1	other2
219	участие	участие	N	N	Ncnsan	218	1-компл	_	_
220	свадьба	свадьба	N	N	Ncfsnn	217	аппоз	_	_
221	использование	использование	N	N	Ncnsnn	223	предик	_	_
222	кредит	кредит	N	N	Ncmsan	221	1-компл	_	_
223	кнопка	кнопка	N	N	Ncfsnn	217	примыкат	_	_
224	пляж	пляж	N	N	Ncmsan	226	обст	_	_
225	действие	действие	N	N	Ncnsan	226	1-компл	_	_
226	жить	жить	V	V	Vmn----a-e	212	1-компл	_	_
227	надеяться	надеяться	V	V	Vmn----m-e	226	обст	_	_
228	скидка	скидка	N	N	Ncfsnn	227	1-компл	_	_
229	природа	природа	N	N	Ncfsnn	230	предик	_	_
230	дело	дело	N	N	Ncnsnn	191	1-компл	_	_
231	специальный	специальный	A	A	Afpmsaf	232	опред	_	_
232	море	мор	N	N	Ncmsan	189	аппоз	_	_
233	продукция	продукция	N	N	Ncfsnn	180	сент-соч	_	_
234	площадь	площадь	N	N	Ncfsan	233	сочин	_	_
235	предмет	предмет	N	N	Ncmsan	234	сочин	_	_
236	друг	друг	P	P	P---snn	239	опред	_	_
237	международный	международный	A	A	Afpmsaf	239	опред	_	_
238	внутренний	внутренний	A	A	Afpmsaf	239	опред	_	_
239	ремонт	ремонт	N	N	Ncmsan	235	1-компл	_	_
240	встреча	встреча	N	N	Ncfsnn	241	предик	_	_
241	сторона	сторона	N	N	Ncfsnn	235	сочин	_	_
242	непосредственно	непосредственно	R	R	R	243	огранич	_	_
243	дно	дно	N	N	Ncnsan	251	1-компл	_	_
244	современный	современный	A	A	Afpmsnf	245	опред	_	_
245	компания	компания	N	N	Ncfsnn	251	предик	_	_
246	происходить	происходить	V	V	Vmn----a-e	245	1-компл	_	_
247	главный	главный	A	A	Afpmsnf	248	1-компл	_	_
248	распространяться	распространяться	V	V	Vmn----m-e	246	1-компл	_	_
249	ребенок	ребенок	N	N	Ncmsny	248	предик	_	_
250	лишь	лишь	Q	Q	Q	251	огранич	_	_
251	приходиться	приходиться	V	V	Vmn----m-e	241	квазиагент	_	_
252	некоторый	некоторый	P	P	P--msaa	253	опред	_	_
253	приобретение	приобретение	N	N	Ncnsan	241	атриб	_	_
254	регистрация	регистрация	N	N	Ncfsnn	277	предик	_	_
255	система	система	N	N	Ncfsnn	269	предик	_	_
256	реакция	реакция	N	N	Ncfsnn	264	предик	_	_
257	бы	бы	Q	Q	Q	264	аналит	_	_
258	поле	поле	N	N	Ncnsan	264	обст	_	_
259	оплата	оплата	N	N	Ncfsnn	264	предик	_	_
260	условие	условие	N	N	Ncnsnn	261	1-компл	_	_
261	найти	найти	V	V	Vmn----a-p	259	1-компл	_	_
262	небольшой	небольшой	A	A	Afpfsif	263	опред	_	_
263	здоровье	здоровье	N	N	Ncnsan	261	1-компл	_	_
264	результат	результат	N	N	Ncmsnn	255	компл-аппоз	_	_
265	статья	статья	N	N	Ncfsnn	264	квазиагент	_	_
266	должность	должность	N	N	Ncfsan	265	квазиагент	_	_
267	бумага	бумага	N	N	Ncfsnn	265	аппоз	_	_
268	примерно	примерно	R	R	R	269	огранич	_	_
269	занятие	занятие	N	N	Ncnsnn	254	1-компл	_	_
270	окно	окно	N	N	Ncnsan	269	1-компл	_	_
271	язык	язык	N	N	Ncmsan	277	обст	_	_
272	сделать	сделать	V	V	Vmn----a-p	275	1-компл	_	_
273	вход	вход	N	N	Ncmsan	272	1-компл	_	_
274	глубина	глубина	N	N	Ncfsnn	273	аппоз	_	_
275	играть	играть	V	V	Vmn----a-e	276	опред	_	_
276	площадка	площадка	N	N	Ncfsnn	277	предик	_	_
277	ориентироваться	ориентироваться	V	V	Vmn----m-e	233	сент-соч	_	_
278	проект	проект	N	N	Ncmsan	277	1-компл	_	_
279	Россия	россия	N	N	Ncfsnn	278	аппоз	_	_
280	сам	сам	P	P	P--msna	281	опред	_	_
281	программа	программа	N	N	Ncfsnn	289	обст	_	_
282	проведение	проведение	N	N	Ncnsan	289	1-компл	_	_
283	период	период	N	N	Ncmsan	289	обст	_	_
284	вырасти	вырасти	V	V	Vmn----a-p	285	опред	_	_
285	спина	спина	N	N	Ncfsnn	289	предик	_	_
286	глядеть	глядеть	V	V	Vmn----a-e	289	обст	_	_
287	запрет	запрет	N	N	Ncmsan	286	1-компл	_	_
288	деятельность	деятельность	N	N	Ncfsan	287	1-компл	_	_
289	сказаться	сказаться	V	V	Vmn----m-p	277	сочин	_	_
290	оставаться	оставаться	V	V	Vmn----m-e	289	1-компл	_	_
291	поездка	поездка	N	N	Ncfsnn	290	присвяз	_	_
292	крыша	крыша	N	N	Ncfsnn	291	квазиагент	_	_
293	поиск	поиск	N	N	Ncmsan	289	сочин	_	_
294	тело	тело	N	N	Ncnsan	293	1-компл	_	_
295	надежда	надежда	N	N	Ncfsnn	293	сочин	_	_
296	принять	принять	V	V	Vmn----a-p	295	1-компл	_	_
297	данные	данные	N	N	Ncmpan	296	1-компл	_	_
298	создать	создать	V	V	Vmn----a-p	297	1-компл	_	_
299	город	город	N	N	Ncmsan	298	1-компл	_	_
300	переходить	переходить	V	V	Vmn----a-e	295	предик	_	_
301	стадия	стадия	N	N	Ncfsnn	303	вспом	_	_
302	пара	пара	N	N	Ncfsnn	301	аппоз	_	_
303	приходить	приходить	V	V	Vmn----a-e	304	опред	_	_
304	почта	почта	N	N	Ncfsnn	308	1-компл	_	_
305	пола	пол	N	N	Ncmsgn	304	атриб	_	_
306	можно	можно	R	R	R	300	2-компл	_	_
307	конец	конец	N	N	Ncmsan	308	1-компл	_	_
308	претендовать	претендовать	V	V	Vmn----a-e	306	предик	_	_
309	мировой	мировой	A	A	Afpmsnf	317	опред	_	_
310	же	же	C	C	C	309	огранич	_	_
311	постоянный	постоянный	A	A	Afpmsnf	317	опред	_	_
312	получить	получить	V	V	Vmn----a-p	311	1-компл	_	_
313	нанести	нанести	V	V	Vmn----a-p	312	1-компл	_	_
314	последний	последний	A	A	Afpmsaf	315	опред	_	_
315	борт	борт	N	N	Ncmsan	313	1-компл	_	_
316	дитя	дитя	N	N	Ncnsny	315	квазиагент	_	_
317	тариф	тариф	N	N	Ncmsnn	308	1-компл	_	_
318	порядок	порядок	N	N	Ncmsan	320	обст	_	_
319	урок	урок	N	N	Ncmsan	318	предл	_	_
320	оказаться	оказаться	V	V	Vmn----m-p	317	1-компл	_	_
321	прибыль	прибыль	N	N	Ncfsan	320	1-компл	_	_
322	давление	давление	N	N	Ncnsnn	321	уточн	_	_
323	внешний	внешний	A	A	Afpmsaf	325	опред	_	_
324	электронный	электронный	A	A	Afpmsaf	325	опред	_	_
325	осуществляться	осуществляться	V	V	Vmn----m-e	322	1-компл	_	_
326	минута	минута	N	N	Ncfsnn	154	сочин	_	_
327	остаться	остаться	V	V	Vmn----m-p	154	опред	_	_
328	ставка	ставка	N	N	Ncfsnn	327	присвяз	_	_
329	сервер	сервер	N	N	Ncmsan	328	1-компл	_	_
330	праздник	праздник	N	N	Ncmsan	329	1-компл	_	_
331	многий	многий	P	P	P---pna	332	опред	_	_
332	план	план	N	N	Ncmsan	335	сравнит	_	_
333	встать	встать	V	V	Vmn----a-p	332	1-компл	_	_
334	долгий	долгий	A	A	Afpmsaf	335	опред	_	_
335	операция	операция	N	N	Ncfsnn	154	сент-соч	_	_
336	позиция	позиция	N	N	Ncfsnn	335	предик	_	_
337	недвижимость	недвижимость	N	N	Ncfsnn	336	квазиагент	_	_
338	ты	ты	P	P	P-2-snn	340	об-копр	_	_
339	заявление	заявление	N	N	Ncnsan	340	1-компл	_	_
340	потратить	потратить	V	V	Vmn----a-p	335	сент-соч	_	_
341	зайти	зайти	V	V	Vmn----a-p	340	1-компл	_	_
342	ссылаться	ссылаться	V	V	Vmn----m-e	341	2-компл	_	_
343	шанс	шанс	N	N	Ncmsan	342	1-компл	_	_
344	отдельный	отдельный	A	A	Afpmsaf	345	опред	_	_
345	восток	восток	N	N	Ncmsan	343	1-компл	_	_
346	солнце	солнце	N	N	Ncnsnn	340	об-копр	_	_
347	выезд	выезд	N	N	Ncmsan	340	1-компл	_	_
348	запрос	запрос	N	N	Ncmsan	353	1-компл	_	_
349	задний	задний	A	A	Afpmsaf	354	опред	_	_
350	показать	показать	V	V	Vmn----a-p	349	1-компл	_	_
351	волос	волос	N	N	Ncmpgn	350	1-компл	_	_
352	ранний	ранний	A	A	Afpmsnf	353	опред	_	_
353	третий	третий	N	N	Ncmsny	354	предик	_	_
354	много	много	M	M	Mc--n	340	сент-соч	_	_
355	присутствовать	присутствовать	V	V	Vmn----a-e	354	предик	_	_
356	Запад	запад	N	N	Ncmsan	355	1-компл	_	_
357	перевод	перевод	N	N	Ncmsan	354	сент-соч	_	_
358	6	6	M	M	Mc---d	359	количест	_	_
359	изображение	изображение	N	N	Ncnsnn	373	предик	_	_
360	лучший	лучший	A	A	Afpmsnf	370	опред	_	_
361	почти	почти	R	R	R	362	огранич	_	_
362	нацелить	нацелить	V	V	Vmn----a-p	360	сочин	_	_
363	слово	слово	N	N	Ncnsan	362	1-компл	_	_
364	бюджет	бюджет	N	N	Ncmsan	363	аппоз	_	_
365	поставка	поставка	N	N	Ncfsnn	367	обст	_	_
366	прогулка	прогулка	N	N	Ncfsnn	367	предик	_	_
367	отправиться	отправиться	V	V	Vmn----m-p	362	сочин	_	_
368	ходить	ходить	V	V	Vmn----a-e	367	сочин	_	_
369	плечо	плечо	N	N	Ncnsan	368	1-компл	_	_
370	продукт	продукт	N	N	Ncmsan	359	1-компл	_	_
371	полный	полный	A	A	Afpmsaf	373	опред	_	_
372	устанавливаться	устанавливаться	V	V	Vmn----m-e	371	1-компл	_	_
373	фотография	фотография	N	N	Ncfsnn	357	соч-союзн	_	_
374	верхний	верхний	A	A	Afpmsaf	375	опред	_	_
375	стоимость	стоимость	N	N	Ncfsan	373	1-компл	_	_
376	;	;	-	-	-	375	PUNC	_	_
377	выполнение	выполнение	N	N	Ncnsnn	354	предик	_	_
378	телефон	телефон	N	N	Ncmsan	377	1-компл	_	_
379	запад	запад	N	N	Ncmsan	378	атриб	_	_
380	граница	граница	N	N	Ncfsnn	378	сочин	_	_
381	какой-то	какой-то	P	P	P--msna	382	опред	_	_
382	организация	организация	N	N	Ncfsnn	380	квазиагент	_	_
383	жалоба	жалоба	N	N	Ncfsnn	387	опред	_	_
384	свежий	свежий	A	A	Afpmsaf	385	опред	_	_
385	небо	небо	N	N	Ncnsan	388	предик	_	_
386	8	8	M	M	Mc---d	388	количест	_	_
387	строительный	строительный	A	A	Afpmsnf	388	опред	_	_
388	изменение	изменение	N	N	Ncnsnn	380	сочин	_	_
389	размещение	размещение	N	N	Ncnsan	388	сочин	_	_
390	область	область	N	N	Ncfsan	389	1-компл	_	_
391	печать	печать	N	N	Ncfsan	393	1-компл	_	_
392	Москва	москва	N	N	Ncfsnn	393	предик	_	_
393	располагаться	располагаться	V	V	Vmn----m-e	389	2-компл	_	_
394	сэкономить	сэкономить	V	V	Vmn----a-p	0	ROOT	_	_
395	лечение	лечение	N	N	Ncnsan	394	1-компл	_	_
396	месяц	месяц	N	N	Ncmsan	394	длительн	_	_
397	оставить	оставить	V	V	Vmn----a-p	394	1-компл	_	_
398	оборудование	оборудование	N	N	Ncnsan	397	1-компл	_	_
399	родина	родина	N	N	Ncfsnn	397	об-копр	_	_
400	рубль	рубль	N	N	Ncmsan	397	1-компл	_	_
401	кто	кто	P	P	P--msnn	0	ROOT	_	_
402	неделя	неделя	N	N	Ncfsnn	0	ROOT	_	_
403	служба	служба	N	N	Ncfsnn	0	ROOT	_	_
404	сейчас	сейчас	P	P	P-----r	405	обст	_	_
405	написать	написать	V	V	Vmn----a-p	403	1-компл	_	_
406	запись	запись	N	N	Ncfsan	405	1-компл	_	_
407	будущее	будущее	N	N	Ncnsan	406	1-компл	_	_
408	процесс	процесс	N	N	Ncmsan	0	ROOT	_	_
409	ограничение	ограничение	N	N	Ncnsan	0	ROOT	_	_
410	производиться	производиться	V	V	Vmn----m-e	409	1-компл	_	_
411	безопасность	безопасность	N	N	Ncfsan	410	1-компл	_	_
412	чтобы	чтобы	C	C	C	410	обст	_	_
413	балкон	балкон	N	N	Ncmsan	415	1-компл	_	_
414	заработок	заработок	N	N	Ncmsnn	413	аппоз	_	_
415	ездить	ездить	V	V	Vmn----a-e	412	инф-союзн	_	_
416	устройство	устройство	N	N	Ncnsnn	415	обст	_	_
417	час	час	N	N	Ncmsan	416	предл	_	_
418	охота	охота	N	N	Ncfsnn	0	ROOT	_	_
419	содержание	содержание	N	N	Ncnsan	0	ROOT	_	_
420	реализация	реализация	N	N	Ncfsnn	0	ROOT	_	_
421	записаться	записаться	V	V	Vmn----m-p	420	1-компл	_	_
422	рассмотрение	рассмотрение	N	N	Ncnsan	421	1-компл	_	_
423	зима	зима	N	N	Ncfsnn	420	аппоз	_	_
424	Русь	русь	N	N	Ncfsnn	427	композ	_	_
425	суд	суд	N	N	Ncmsan	426	композ	_	_
426	предложение	предложение	N	N	Ncnsan	424	1-компл	_	_
427	очередь	очередь	N	N	Ncfsan	0	ROOT	_	_
428	разработка	разработка	N	N	Ncfsnn	0	ROOT	_	_
429	платформа	платформа	N	N	Ncfsnn	431	вспом	_	_
430	река	река	N	N	Ncfsnn	429	аппоз	_	_
431	отразиться	отразиться	V	V	Vmn----m-p	432	опред	_	_
432	конференция	конференция	N	N	Ncfsnn	0	ROOT	_	_
433	ставить	ставить	V	V	Vmn----a-e	435	предик	_	_
434	раз	раз	N	N	Ncmsan	433	обст	_	_
435	проблема	проблема	N	N	Ncfsnn	432	аппоз	_	_
436	курс	курс	N	N	Ncmsan	435	1-компл	_	_
437	нефть	нефть	N	N	Ncfsan	436	1-компл	_	_
438	г	год	N	N	Ncmsgn	437	атриб	_	_
439	.	.	S	S	SENT	438	PUNC	_	_

1	лист	лист	N	N	Ncmsnn	0	ROOT	_	_
2	проверка	проверка	N	N	Ncfsnn	0	ROOT	_	_
3	7	7	M	M	Mc---d	4	количест	_	_
4	акцент	акцент	N	N	Ncmsnn	0	ROOT	_	_
5	клиент	клиент	N	N	Ncmsny	7	предик	_	_
6	либо	либо	C	C	C	7	соотнос	_	_
7	расчет	расчет	N	N	Ncmsnn	4	атриб	_	_
8	колено	колено	N	N	Ncnsan	7	1-компл	_	_
